Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
04-01-2010,43.080002,43.130001,42.889999,43.83,42.970001,22.54,31.40
05-01-2010,41.990002,42.080002,41.619999,42.67,41.830002,21.95,48.59
06-01-2010,41.560001,41.700001,41.290001,42.17,41.34,21.69,55.50
07-01-2010,41.400002,41.549999,41.02,42.31,41.48,21.76,52.88
08-01-2010,41.060001,41.16,40.77,41.92,41.099998,21.56,88.56
11-01-2010,41.48,41.779999,41.34,42.46,41.630001,21.84,68.80
12-01-2010,41.470001,41.799999,41.360001,42.54,41.709999,21.88,44.31
13-01-2010,41.630001,41.799999,41.290001,42.54,41.709999,21.88,70.38
14-01-2010,41.889999,42.099998,41.799999,42.82,41.98,22.02,131.78
15-01-2010,41.139999,41.27,40.560001,41.73,40.91,21.46,70.77
19-01-2010,41.650002,42.25,41.630001,42.96,42.119999,22.10,50.75
20-01-2010,42.119999,42.220001,41.810001,42.90,42.060001,22.07,148.95
21-01-2010,42.27,42.34,41.34,42.36,41.529999,21.79,49.64
22-01-2010,41.139999,41.34,40.66,41.58,40.759998,21.38,36.42
25-01-2010,40.580002,40.639999,40.349998,41.26,40.450001,21.22,37.89
26-01-2010,40.619999,41.009998,40.540001,41.62,40.799999,21.41,45.15
27-01-2010,40.59,40.689999,40.25,41.23,40.419998,21.21,56.64
28-01-2010,40.490002,40.549999,39.610001,40.62,39.82,20.89,68.60
29-01-2010,39.259998,39.459999,38.950001,39.79,39.009998,20.47,90.55
01-02-2010,38.709999,38.919998,38.59,39.65,38.869999,20.39,76.02
02-02-2010,39.080002,39.59,38.990002,40.28,39.490002,20.72,110.47
03-02-2010,38.990002,39.139999,38.77,39.70,38.919998,20.42,48.10
04-02-2010,39.220001,39.34,38.419998,39.26,38.490002,20.19,53.07
05-02-2010,38.169998,38.200001,37.369999,38.82,38.060001,19.97,88.08
08-02-2010,38.200001,38.419998,38.080002,38.88,38.119999,20.00,58.37
09-02-2010,38.259998,38.75,37.950001,39.24,38.470001,20.18,97.91
10-02-2010,37.560001,37.75,37.34,38.27,37.52,19.98,41.67
11-02-2010,37.919998,38.509998,37.740002,39.24,38.470001,20.49,110.87
12-02-2010,38.720001,38.779999,38.450001,39.53,38.75,20.64,50.80
16-02-2010,38.869999,39.330002,38.689999,40.04,39.25,20.90,109.71
17-02-2010,39.389999,39.439999,39.139999,40.15,39.360001,20.96,45.98
18-02-2010,38.970001,39.16,38.84,39.62,38.84,20.69,113.20
19-02-2010,38.130001,38.380001,37.959999,39.03,38.259998,20.38,42.68
22-02-2010,37.400002,37.599998,37.200001,38.07,37.32,19.88,106.96
23-02-2010,37.369999,37.52,37.279999,38.17,37.419998,19.93,53.43
24-02-2010,37.360001,37.580002,37.279999,38.08,37.330002,19.88,40.35
25-02-2010,36.799999,37.130001,36.709999,37.87,37.130001,19.78,67.66
26-02-2010,36.959999,37.259998,36.84,37.88,37.139999,19.78,48.32
01-03-2010,36.75,37.09,36.66,37.77,37.029999,19.72,60.29
02-03-2010,37.119999,37.439999,37.029999,37.97,37.23,19.83,44.27
03-03-2010,37.310001,37.59,37.209999,38.11,37.360001,19.90,32.69
04-03-2010,37.52,37.57,37.310001,38.12,37.369999,19.90,43.40
05-03-2010,37.040001,37.669998,37,38.29,37.540001,19.99,56.33
08-03-2010,37.380001,37.540001,37.259998,38.12,37.369999,19.90,49.19
09-03-2010,37.549999,37.75,37.5,38.47,37.720001,20.09,32.87
10-03-2010,37.490002,37.75,37.470001,38.41,37.66,20.06,35.39
11-03-2010,37.650002,37.84,37.450001,38.60,37.84,20.15,32.35
12-03-2010,37.880001,37.950001,37.68,38.58,37.82,20.14,39.76
15-03-2010,37.66,37.73,37.509998,38.48,37.73,20.09,46.01
16-03-2010,37.630001,37.900002,37.5,38.55,37.790001,20.13,40.72
17-03-2010,37.939999,37.950001,37.509998,38.56,37.799999,20.13,48.36
18-03-2010,38.66,39.23,38.610001,40.00,39.220001,20.89,99.76
19-03-2010,38.57,38.73,38.369999,39.34,38.57,20.54,82.30
22-03-2010,38.830002,39.25,38.740002,39.79,39.009998,20.78,54.83
23-03-2010,38.669998,39.029999,38.650002,39.76,38.98,20.76,51.47
24-03-2010,38.709999,38.84,38.5,39.41,38.639999,20.58,54.96
25-03-2010,38.790001,38.799999,38.419998,39.19,38.419998,20.46,53.61
26-03-2010,38.07,38.189999,37.950001,38.78,38.02,20.25,35.33
29-03-2010,38.029999,38.23,37.990002,38.88,38.119999,20.30,28.67
30-03-2010,38.32,38.380001,38.080002,38.99,38.23,20.36,29.15
31-03-2010,38.150002,38.700001,38.139999,39.29,38.52,20.52,53.70
01-04-2010,38.470001,38.599998,38.369999,39.32,38.549999,20.53,32.81
05-04-2010,38.810001,38.810001,38.560001,39.40,38.630001,20.57,26.50
06-04-2010,38.09,38.98,38.080002,39.51,38.740002,20.63,96.72
07-04-2010,38.849998,39.110001,38.66,39.54,38.759998,20.64,82.74
08-04-2010,38.830002,38.990002,38.740002,39.64,38.860001,20.70,51.89
09-04-2010,39.299999,39.34,39.080002,39.98,39.200001,20.88,52.16
12-04-2010,39.119999,39.349998,39.02,39.91,39.130001,20.84,38.69
13-04-2010,39.450001,39.52,39.150002,40.28,39.490002,21.03,46.42
14-04-2010,39.599998,39.720001,39.439999,40.26,39.470001,21.02,59.06
15-04-2010,39.41,39.689999,39.369999,40.25,39.459999,21.02,37.62
16-04-2010,39.720001,39.91,39.389999,40.36,39.57,21.07,46.72
19-04-2010,39.09,39.380001,39.060001,40.17,39.380001,20.97,30.96
20-04-2010,39.450001,39.599998,39.299999,40.22,39.43,21.00,66.71
21-04-2010,39.169998,39.200001,38.790001,39.78,39,20.77,45.50
22-04-2010,38.779999,39.029999,38.290001,39.38,38.610001,20.56,86.96
23-04-2010,38.209999,38.630001,38.099998,39.38,38.610001,20.56,47.25
26-04-2010,38.709999,38.84,38.669998,39.45,38.68,20.60,38.45
27-04-2010,37.799999,37.919998,37.240002,38.31,37.560001,20.00,107.62
28-04-2010,37.450001,37.509998,37.009998,38.03,37.279999,19.85,83.94
29-04-2010,37.459999,37.650002,37.290001,38.25,37.5,19.97,46.45
30-04-2010,37.490002,37.540001,37.099998,38.04,37.290001,19.86,76.97
03-05-2010,37.450001,37.580002,37.310001,38.18,37.43,19.93,43.75
04-05-2010,37.049999,37.119999,36.77,37.69,36.950001,19.68,64.40
05-05-2010,36.130001,36.439999,35.93,36.91,36.189999,19.52,66.97
06-05-2010,35.869999,36.389999,33.240002,35.60,34.900002,18.82,103.45
07-05-2010,34.540001,34.759998,33.599998,34.88,34.200001,18.44,112.88
10-05-2010,35.360001,35.759998,35.110001,36.00,35.290001,19.03,64.75
11-05-2010,35.049999,35.700001,34.869999,36.08,35.369999,19.08,52.28
12-05-2010,35.34,35.580002,35.200001,36.11,35.400002,19.09,48.78
13-05-2010,35.259998,35.400002,35.049999,35.79,35.09,18.92,32.03
14-05-2010,34.669998,34.720001,33.98,34.83,34.150002,18.42,73.18
17-05-2010,34.16,34.580002,34,35.17,34.48,18.60,74.18
18-05-2010,34.150002,34.32,33.639999,34.33,33.66,18.15,75.34
19-05-2010,33.650002,34.439999,33.630001,34.97,34.279999,18.49,110.50
20-05-2010,33.549999,33.830002,33.150002,34.00,33.330002,17.98,85.84
21-05-2010,32.48,33.389999,32.419998,33.95,33.279999,17.95,75.00
24-05-2010,32.900002,33.279999,32.799999,33.59,32.93,17.76,51.62
25-05-2010,32.330002,32.919998,32.150002,33.58,32.919998,17.75,88.76
26-05-2010,32.619999,32.91,32.25,32.99,32.34,17.44,82.36
27-05-2010,32.82,33.380001,32.720001,34.03,33.360001,17.99,64.13
28-05-2010,33.900002,33.91,33.369999,34.13,33.459999,18.05,51.16
01-06-2010,33.860001,34.209999,33.66,34.33,33.66,18.15,81.55
02-06-2010,34.41,34.82,34.209999,35.51,34.810001,18.77,97.36
